WKT,_predicate,SHAPE_Leng,SHAPE_Area
"MULTIPOLYGON (((600425.009 344548.646,600424.863 344543.037,600423.73 344542.789999999,600419.653 344541.890000001,600419.47 344541.85,600419.235 344541.798,600417.42 344541.4,600417.25 344542.18,600419.153 344542.601,600419.42 344542.66,600419.592 344542.698000001,600423.56 344543.57,600423.921 344543.649,600424.067 344549.225,600424.072 344549.42,600425.029 344549.395,600425.009 344548.646)))",INTERSECTS,28.34050570250,11.58860700090
"MULTIPOLYGON (((600986.406619945 344209.158410929,600985.179534421 344205.012246987,600983.756864784 344200.086696383,600982.680932805 344200.396187877,600984.306123491 344206.639767215,600985.006448901 344209.295061747,600986.081123493 344213.081551101,600999.285852733 344209.377907382,600998.873736338 344207.953558201,600987.012914481 344211.477201922,600986.406619945 344209.158410929)))",INTERSECTS,45.80676900710,18.82047899670
"MULTIPOLYGON (((601090.956 344213.571000002,601091.152 344213.566000002,601097.130495457 344213.334247217,601103.90669613 344212.667429227,601110.819551088 344211.332261652,601117.979000001 344209.421000002,601122.446000001 344208.263000002,601127.439 344206.233000001,601143.052 344197.162,601148.653 344194.140000001,601163.229463016 344185.727267189,601178.939193012 344176.302355058,601178.583409303 344174.811472349,601162.377158594 344184.75996086,601147.988000001 344192.908,601143.587 344195.282000002,601139.081 344186.320999999,601138.937000001 344186.035000002,601138.790000001 344185.744000001,601136.779000001 344181.745000001,601135.541000001 344182.367000004,601137.661000001 344186.582,601137.790000001 344186.839000002,601137.834000001 344186.926000001,601142.368000002 344195.940000001,601126.821 344204.972999999,601122.005 344206.931000002,601117.719 344208.041999998,601110.485105671 344209.946971796,601104.025147891 344211.090599652,601097.319726387 344211.947618671,601090.996 344212.17,601079.402207395 344211.619266896,601079.321792607 344212.562718662,601083.730665501 344212.873644721,601090.956 344213.571000002)))",INTERSECTS,179.19896535100,123.25589102200
"MULTIPOLYGON (((600614.54 344345.210000001,600614.333 344345.097999999,600614.15 344345.0,600613.29 344346.66,600610.22 344345.060000001,600609.86 344345.869999999,600612.627 344347.316,600612.71 344347.359999999,600612.975 344347.498,600614.36 344348.220000001,600615.63 344345.779999999,600614.632 344345.257999999,600614.54 344345.210000001)))",INTERSECTS,15.71824244500,7.64354999734
"MULTIPOLYGON (((600420.883489355 344512.666819377,600419.880465579 344514.872014198,600424.436545741 344516.861259807,600427.904001366 344518.375723895,600427.943699186 344517.730447607,600431.201085522 344519.400154365,600431.803023777 344518.459921576,600420.883489355 344512.666819377)))",INTERSECTS,25.54333168080,7.26093750159
"MULTIPOLYGON (((601028.107 344205.811000001,601027.664 344196.318,601027.583 344194.589,601027.535 344193.559,601027.454 344191.822000001,601026.224 344191.879000001,601026.305 344193.616,601026.356 344194.717,601026.436 344196.42,601026.872 344205.741,601022.136 344205.473999999,601022.053 344206.945,601029.792 344207.380999999,601029.875 344205.911,601028.107 344205.811000001)))",INTERSECTS,46.32398953780,28.58003099440
"MULTIPOLYGON (((600439.58 344615.898,600439.174 344616.562000001,600437.810000001 344618.789999999,600437.37 344619.510000002,600438.220000001 344620.030000001,600438.85 344619.010000002,600440.136000001 344616.908000002,600440.519000001 344616.280999999,600443.946500001 344610.3914,600445.020000001 344608.539999999,600447.828 344603.398999998,600449.27 344600.760000002,600448.39 344600.279999999,600447.07 344602.699000001,600444.15 344608.050000004,600439.910000001 344615.360000001,600439.58 344615.898)))",INTERSECTS,72.47566221570,40.30468549490
"MULTIPOLYGON (((600426.289000002 344534.477,600426.86 344532.140000001,600421.163000001 344531.221000001,600420.91 344531.18,600420.705000001 344531.145,600417.67007594 344530.535503551,600417.571781404 344531.556356283,600420.63 344532.142000003,600420.869999999 344532.180000002,600420.931000002 344532.190000001,600425.930000001 344533.000000002,600424.537061865 344538.830732338,600414.924947478 344537.259627042,600414.688886887 344538.546963839,600424.02317814 344540.478760116,600424.764883607 344540.546201922,600426.289000002 344534.477)))",INTERSECTS,29.46412688150,11.58944499790
"MULTIPOLYGON (((600537.91 344352.390000001,600537.035 344352.127,600536.395 344351.935000001,600536.386 344351.933,600536.375 344351.929,600536.364 344351.926000001,600535.625 344351.703,600535.223 344351.582,600534.22 344351.279999999,600533.14 344350.949999999,600532.99 344351.439999999,600532.85 344351.91,600533.88 344352.220000001,600534.864 344352.516000001,600535.158 344352.605,600536.271 344352.939999999,600536.853 344353.116,600537.83 344353.41,600539.1 344353.800000001,600539.39 344352.84,600537.91 344352.390000001)))",INTERSECTS,15.06480897970,6.52651800169
"MULTIPOLYGON (((600521.109000001 344644.494999999,600517.864 344648.998000002,600509.679763729 344660.166176768,600511.148008096 344660.871554585,600518.979 344649.935000001,600522.288000002 344645.344000002,600521.109000001 344644.494999999)))",INTERSECTS,32.27203020810,21.33154950280
